id,category,question,expected_answer,generated_answer,term_recall,matched_terms,unsupported_facts,accuracy,completeness,hallucination_free,source_reference
cost_01,cost,"Подскажи цену за год по Компьютерной безопасности в ВШЭ Москва, я что то не вижу в таблице",один год по программе Компьютерная безопасность в Москве стоит 560 тыс руб,"Цена за год обучения по специальности Компьютерная безопасность в НИУ ВШЭ Москва составляет 560 тыс. руб.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['компьютерная безопасность', '560']",[],1,1.0,1,1
cost_02,cost,"Математика в ВШЭ Москва сколько стоит в год, можно просто цифру",один год по программе Математика в Москве стоит 520 тыс руб,520,0.5,['520'],[],0,0.5,1,0
cost_03,cost,"А если ПМИ, то сколько денег за год, я про Прикладную математику и информатику",один год по программе Прикладная математика и информатика в Москве стоит 850 тыс руб,"Стоимость одного года обучения по направлению подготовки 01.03.02 Прикладная математика и информатика составляет 850 тыс. руб.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['прикладная математика и информатика', '850']",[],1,1.0,1,1
cost_04,cost,"Онлайн комп науки и анализ данных, сколько выходит за год обучения",один год по программе Компьютерные науки и анализ данных онлайн в Москве стоит 550 тыс руб,"Стоимость одного года обучения по направлению ""Компьютерные науки и анализ данных (онлайн)"" составляет 550 тыс. руб.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['компьютерные науки и анализ данных онлайн', '550']",[],1,1.0,1,1
cost_05,cost,"Прикладная математика не ПМИ, а просто Прикладная математика, сколько в год",один год по программе Прикладная математика в Москве стоит 500 тыс руб,Источник: Приложение 1.pdf,0.0,[],[],0,0.0,1,1
cost_06,cost,"Физика в Москве в ВШЭ сколько стоит в год, я путаюсь",один год по программе Физика в Москве стоит 530 тыс руб,"Стоимость обучения по физике в НИУ ВШЭ в Москве составляет 70 тысяч рублей в год.

Источник: Приложение 1.pdf",0.0,[],[],0,0.0,1,1
cost_07,cost,"Химия новых материалов, сколько платить за год, это ВШЭ Москва",один год по программе Химия новых материалов в Москве стоит 530 тыс руб,"За год платных мест по направлению ""Химия новых материалов"" в 2026 году в НИУ ВШЭ Москва нужно будет платить 70 тысяч рублей.

Источник: ... Приложение 1.pdf",0.5,['химия новых материалов'],[],0,0.5,1,1
cost_08,cost,"Клеточная и молекулярная биотехнология, это сколько в год стоит",один год по программе Клеточная и молекулярная биотехнология в Москве стоит 600 тыс руб,"Стоимость обучения по направлению ""Клеточная и молекулярная биотехнология"" составляет 600 рублей в год.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['клеточная и молекулярная биотехнология', '600']",[],1,1.0,1,1
cost_09,cost,"Когнитивная нейробиология, сколько год обучения, можно кратко",один год по программе Когнитивная нейробиология в Москве стоит 600 тыс руб,"Год обучения в направлении когнитивной нейробиологии составляет 6 лет.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.0,[],[],0,0.0,1,1
cost_10,cost,"Городское планирование, какой ценник за год, Москва",один год по программе Городское планирование в Москве стоит 650 тыс руб,"Ценник на платные места за год обучения в программе ""Девелопмент и городское планирование"" в НИУ ВШЭ в Москве составляет 50 000 рублей.

Источник: Приложение 1.pdf",0.5,['городское планирование'],['50 000'],0,0.5,0,1
