id,category,needs_review,question,expected_answer,generated_answer,auto_accuracy,auto_completeness,auto_hallucination_free,auto_source_reference,auto_unsupported_facts,manual_accuracy_0_1,manual_completeness_0_1,manual_hallucination_free_0_1,manual_source_reference_0_1,manual_comment
cost_18,cost,1,"Экономика, стоимость за год в Москве, если можно без лишнего",один год по программе Экономика в Москве стоит 770 тыс руб,"Стоимость обучения за один год для экономических специальностей в Москве НИУ ВШЭ в 2025 году составляет 65 000 рублей.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0,0.0,0,1,65 000,,,,,
cost_24,cost,1,"Управление бизнесом, сколько стоит год, Москва ВШЭ",один год по программе Управление бизнесом в Москве стоит 850 тыс руб,"Стоимость обучения за год для специальности ""Юриспруденция: правовое регулирование бизнеса"" составляет 40 000 рублей.

Источник: Приложение 1.pdf",0,0.0,0,1,40 000,,,,,
cost_10,cost,1,"Городское планирование, какой ценник за год, Москва",один год по программе Городское планирование в Москве стоит 650 тыс руб,"Ценник на платные места за год обучения в программе ""Девелопмент и городское планирование"" в НИУ ВШЭ в Москве составляет 50 000 рублей.

Источник: Приложение 1.pdf",0,0.5,0,1,50 000,,,,,
cost_21,cost,1,"Мировая экономика, цена за год обучения, Москва",один год по программе Мировая экономика в Москве стоит 780 тыс руб,"Цена за год обучения по специальности ""Мировая экономика"" в 2025 году составляет 65 000 рублей.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0,0.5,0,1,65 000,,,,,
dates_01,dates,1,"По Компьютерной безопасности, когда можно подавать документы в 2026, отдельно бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Для направления подготовки 11.03.01 Компьютерная безопасность можно подавать документы на бюджетные места с 20 июня по 25 июля 2026 года, а на платные места с 20 июня по 12 августа 2026 года.

Источник: ... Приложение 1.pdf",0,1.0,0,1,11 03 01,,,,,
cost_05,cost,1,"Прикладная математика не ПМИ, а просто Прикладная математика, сколько в год",один год по программе Прикладная математика в Москве стоит 500 тыс руб,Источник: Приложение 1.pdf,0,0.0,1,1,,,,,,
cost_06,cost,1,"Физика в Москве в ВШЭ сколько стоит в год, я путаюсь",один год по программе Физика в Москве стоит 530 тыс руб,"Стоимость обучения по физике в НИУ ВШЭ в Москве составляет 70 тысяч рублей в год.

Источник: Приложение 1.pdf",0,0.0,1,1,,,,,,
cost_09,cost,1,"Когнитивная нейробиология, сколько год обучения, можно кратко",один год по программе Когнитивная нейробиология в Москве стоит 600 тыс руб,"Год обучения в направлении когнитивной нейробиологии составляет 6 лет.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0,0.0,1,1,,,,,,
cost_17,cost,1,"Психология в ВШЭ Москва, сколько стоит год, просто сумма",один год по программе Психология в Москве стоит 670 тыс руб,"Стоимость обучения по специальности ""Психологическое консультирование"" в НИУ ВШЭ (Москва) не указана в данном контексте. Источник: ...",0,0.0,1,1,,,,,,
cost_23,cost,1,"Маркетинг и рыночная аналитика, цена за год обучения в Москве",один год по программе Маркетинг и рыночная аналитика в Москве стоит 850 тыс руб,Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf,0,0.0,1,1,,,,,,
cost_25,cost,1,"Госуправление, то есть ГМУ, сколько за год обучения в Москве",один год по программе Государственное и муниципальное управление в Москве стоит 550 тыс руб,"Стоимость обучения за один год в Москве для бакалавриата и специалитета в НИУ ВШЭ в 2025 году составляет 560 тысяч рублей для специальности ""Компьютерная безопасность"" и 730 тысяч рублей для специальности ""Актерское искусство"".

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0,0.0,1,1,,,,,,
dormitory_02,dormitory,1,Где первокурсник получает направление на заселение в общежитие?,Направления на заселение выдаются автоматически через Личный кабинет абитуриента.,"Первокурсник получает направление на заселение в общежитие в Личном кабинете студента, если при подаче документов указал на необходимость предоставления общежития. Источник: Порядок заселения в общежитие НИУ ВШЭ студентов 1 курса бакалавриата/специалитета набора 2025 года.",0,0.0,1,1,,,,,,
dates_09,dates,1,"Когнитивная нейробиология, какие сроки приема документов в 2026, хочу понять крайний день","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026",Крайний день для подачи документов на когнитивную нейробиологию в 2026 году — 8 августа. Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики».,0,0.2857142857142857,1,1,,,,,,
dates_22,dates,1,"Экономический анализ онлайн, даты приема документов в 2026, просто период","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Период приема документов на экономический анализ онлайн в 2026 году завершается 3 августа 2026 года.

Источник: Приложение 1.pdf",0,0.2857142857142857,1,1,,,,,,
conditions_02,conditions,1,Можно ли подать документы с баллом ЕГЭ ниже 50?,"Нет, подать документы можно только если балл по предмету ЕГЭ 50 и выше.","Нет, документы нельзя подать с баллом ЕГЭ ниже 50. Однако за индивидуальные достижения можно получить до 10 баллов, что может повлиять на проходной балл.

Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики»",0,0.3333333333333333,1,1,,,,,,
dates_17,dates,1,"Психология, сроки приема документов в 2026, я боюсь пропустить бюджет","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Сроки приема документов на бюджетные места для направления подготовки 37.03.01 Психология в 2026 году:
- с 20 июня по 14 июля

Источник: ... Приложение 1.pdf",0,0.42857142857142855,1,1,,,,,,
dates_19,dates,1,"Экономика и анализ данных, сроки подачи в 2026, скажи как в документе","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Экономика и анализ данных:
с 20 июня по 03 августа 2026 года

Источник: ... Приложение 1.pdf",0,0.42857142857142855,1,1,,,,,,
cost_02,cost,1,"Математика в ВШЭ Москва сколько стоит в год, можно просто цифру",один год по программе Математика в Москве стоит 520 тыс руб,520,0,0.5,1,0,,,,,,
cost_07,cost,1,"Химия новых материалов, сколько платить за год, это ВШЭ Москва",один год по программе Химия новых материалов в Москве стоит 530 тыс руб,"За год платных мест по направлению ""Химия новых материалов"" в 2026 году в НИУ ВШЭ Москва нужно будет платить 70 тысяч рублей.

Источник: ... Приложение 1.pdf",0,0.5,1,1,,,,,,
cost_11,cost,1,"Информатика и вычислительная техника, сколько стоит год, я не нашел строку",один год по программе Информатика и вычислительная техника в Москве стоит 540 тыс руб,"Стоимость года обучения по направлению ""Информатика и вычислительная техника"" не указана в данном фрагменте документа. Источник: ...",0,0.5,1,1,,,,,,
cost_12,cost,1,"Программная инженерия, цена за год в Москве, только по делу",один год по программе Программная инженерия в Москве стоит 800 тыс руб,"Информация о стоимости обучения по программе ""Программная инженерия"" в Москве за 2026 год отсутствует в данном контексте. Источник: https://www.hse.ru/news/admission/1120677182.html",0,0.5,1,1,,,,,,
cost_13,cost,1,"Дизайн и разработка инфопродуктов, сколько в год, Москва ВШЭ",один год по программе Дизайн и разработка информационных продуктов в Москве стоит 780 тыс руб,"780

Источник: data/raw/pdfs/6.18-01_180225-3 Приложение 1_Москва.pdf",0,0.5,1,1,,,,,,
cost_15,cost,1,"Информационная безопасность, год обучения сколько стоит в Москве",один год по программе Информационная безопасность в Москве стоит 590 тыс руб,"Стоимость обучения по специальности ""Информационная безопасность"" в 2025 году составляет 560 тыс. руб.

Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0,0.5,1,1,,,,,,
cost_16,cost,1,"Инфокоммуникации и системы связи, какой ценник за год в Москве",один год по программе Инфокоммуникационные технологии и системы связи в Москве стоит 500 тыс руб,Ценник за год обучения в Москве для направления подготовки 11.03.02 Инфокоммуникационные технологии и системы связи не указан в данном фрагменте. Источник: ... Приложение 1.pdf,0,0.5,1,1,,,,,,
documents_03,documents,1,Где на сайте ВШЭ размещены документы и правила приема?,"Документы размещены в разделе документов и правил приема, включая правила приема и документы приемной комиссии.",Документы и правила приема размещены по адресу: https://admissions.hse.ru/undergraduate-apply/schedule. Источник: https://admissions.hse.ru/undergraduate-apply/schedule,0,0.5,1,1,,,,,,
dormitory_01,dormitory,1,Кому из первокурсников ВШЭ в 2025 году обещали места в общежитиях?,"Места в общежитиях получат студенты-первокурсники, поступившие на бесплатные места в бакалавриате и специалитете Вышки в 2025 году.","Всем студентам-первокурсникам, поступившим на бюджетные места и места за счет НИУ ВШЭ, в 2025 году обещали места в общежитиях.

Источник: Часто задаваемые вопросы — 2025 – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики»",0,0.5,1,1,,,,,,
dates_14,dates,1,"Разработка игр, какие сроки приема документов в 2026, хочу знать последний день","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Последний день приема документов для направления ""Разработка игр и цифровых продуктов"" в 2026 году — 12 августа.

Источник: Приложение 1.pdf",0,0.5714285714285714,1,1,,,,,,
dates_24,dates,1,"Управление бизнесом, сроки приема документов в 2026, чтобы я не тупил потом","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Сроки приема документов на платные места для программы ""Управление бизнесом"" в 2026 году завершаются 12 августа.

Источник: Приложение 1.pdf",0,0.5714285714285714,1,1,,,,,,
cost_19,cost,1,"Экономика и анализ данных, сколько денег за один год обучения",один год по программе Экономика и анализ данных в Москве стоит 790 тыс руб,"За один год обучения в направлении ""Экономика и анализ данных""付诸行动。
根据提供的信息，经济与数据分析专业的学费为790元/年。",1,1.0,1,0,,,,,,
