id,category,needs_review,question,expected_answer,generated_answer,auto_accuracy,auto_completeness,auto_hallucination_free,auto_source_reference,auto_unsupported_facts,manual_accuracy_0_1,manual_completeness_0_1,manual_hallucination_free_0_1,manual_source_reference_0_1,manual_comment
cost_02,cost,1,"Математика в ВШЭ Москва сколько стоит в год, можно просто цифру",один год по программе Математика в Москве стоит 520 тыс руб,"Ответ: 75
Источник: Приложение 1.pdf",0,0.0,1,1,,,,,,
cost_03,cost,1,"А если ПМИ, то сколько денег за год, я про Прикладную математику и информатику",один год по программе Прикладная математика и информатика в Москве стоит 850 тыс руб,"Ответ: Точная стоимость за год обучения для Прикладной математики и информатики не указана в данном фрагменте.
Источник: Приложение 1.pdf",0,0.0,1,1,,,,,,
cost_04,cost,1,"Онлайн комп науки и анализ данных, сколько выходит за год обучения",один год по программе Компьютерные науки и анализ данных онлайн в Москве стоит 550 тыс руб,"Ответ: Точная стоимость за год обучения для онлайн-программы ""Компьютерные науки и анализ данных"" отсутствует в данном контексте.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0,0.0,1,1,,,,,,
cost_06,cost,1,"Физика в Москве в ВШЭ сколько стоит в год, я путаюсь",один год по программе Физика в Москве стоит 530 тыс руб,"Ответ: Точная стоимость платных мест по направлению физики в Москве в НИУ ВШЭ в 2026 году не указана в данном фрагменте.
Источник: Приложение 1.pdf",0,0.0,1,1,,,,,,
cost_09,cost,1,"Когнитивная нейробиология, сколько год обучения, можно кратко",один год по программе Когнитивная нейробиология в Москве стоит 600 тыс руб,"Ответ: 6 лет обучения.
Источник: Приложение 1.pdf",0,0.0,1,1,,,,,,
cost_17,cost,1,"Психология в ВШЭ Москва, сколько стоит год, просто сумма",один год по программе Психология в Москве стоит 670 тыс руб,"Ответ: Точная стоимость обучения по программе психологии в НИУ ВШЭ Москва в 2025 году не указана в данном фрагменте.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0,0.0,1,1,,,,,,
documents_02,documents,1,Какой уровень образования нужен для поступления на бакалавриат или специалитет?,"Нужно иметь среднее общее образование, среднее профессиональное образование с квалификацией или высшее образование с квалификацией.","Ответ: Для поступления на бакалавриат или специалитет допускаются лица, имеющие среднее общее или среднее профессиональное образование, а также лица, имеющие высшее образование.
Источник: Правила_приема_бак_2026_принятые_изменения_v12.pdf",0,0.0,1,1,,,,,,
dormitory_02,dormitory,1,Где первокурсник получает направление на заселение в общежитие?,Направления на заселение выдаются автоматически через Личный кабинет абитуриента.,"Ответ: Первокурсник получает направление на заселение в общежитие в Личном кабинете студента, если при подаче документов указал на необходимость предоставления общежития.
Источник: Порядок заселения в общежитие НИУ ВШЭ студентов 1 курса бакалавриата/специалитета набора 2025 года граждане РФ — Дирекция по управлению общежитиями, г",0,0.0,1,1,,,,,,
dates_09,dates,1,"Когнитивная нейробиология, какие сроки приема документов в 2026, хочу понять крайний день","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Крайний день подачи документов на все образовательные программы в 2026 году — 8 августа.
Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",0,0.2857142857142857,1,1,,,,,,
dates_22,dates,1,"Экономический анализ онлайн, даты приема документов в 2026, просто период","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Даты приема документов на все образовательные программы в НИУ ВШЭ в 2026 году завершаются 8 августа.
Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",0,0.2857142857142857,1,1,,,,,,
dates_04,dates,1,"Компьютерные науки и анализ данных онлайн, когда принимают документы в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Компьютерные науки и анализ данных принимают документы с 20 июня по 14 июля 2026 года как на бюджетных, так и на платных местах.
Источник: Приложение 1.pdf",0,0.42857142857142855,1,1,,,,,,
dates_05,dates,1,"Прикладная математика, какие сроки подачи документов в 2026, чтобы не пролететь","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки подачи документов на бюджетные места для Прикладной математики в 2026 году с 20 июня по 14 июля.
Источник: Приложение 1.pdf",0,0.42857142857142855,1,1,,,,,,
dates_08,dates,1,"Биотехнология клеточная и молекулярная, до какого числа можно подать в 2026 на бюджет и на платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Бюджетные места для направления ""Клеточная и молекулярная биотехнология"" можно подать с 20 июня по 14 июля 2026 года.
Источник: Приложение 1.pdf",0,0.42857142857142855,1,1,,,,,,
dates_13,dates,1,"Дизайн и разработка инфопродуктов, подскажи сроки подачи документов в 2026, бюджет и платное","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки подачи документов на платные места для дизайна и разработки инфопродуктов в 2026 году с 20 июня по 03 августа.
Источник: Приложение 1.pdf",0,0.42857142857142855,1,1,,,,,,
dates_17,dates,1,"Психология, сроки приема документов в 2026, я боюсь пропустить бюджет","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: Сроки приема документов на бюджетные места по направлению подготовки 37.03.01 Психология в 2026 году составляют с 20 июня по 14 июля.
Источник: Приложение 1.pdf",0,0.42857142857142855,1,1,,,,,,
dates_19,dates,1,"Экономика и анализ данных, сроки подачи в 2026, скажи как в документе","прием документов на бюджет идет с 20 июня по 25 июля 2026, а на платные места с 20 июня по 12 августа 2026","Ответ: сроки подачи на программу ""Экономика и анализ данных"" в 2026 году указаны с 20 июня по 03 августа 2026 года.
Источник: Приложение 1.pdf",0,0.42857142857142855,1,1,,,,,,
cost_07,cost,1,"Химия новых материалов, сколько платить за год, это ВШЭ Москва",один год по программе Химия новых материалов в Москве стоит 530 тыс руб,"Ответ: Точная стоимость за год обучения для направления ""Химия новых материалов"" в ВШЭ Москва не указана в данном фрагменте.
Источник: Приложение 1.pdf",0,0.5,1,1,,,,,,
cost_08,cost,1,"Клеточная и молекулярная биотехнология, это сколько в год стоит",один год по программе Клеточная и молекулярная биотехнология в Москве стоит 600 тыс руб,"Ответ: 600 рублей в год
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0,0.5,1,1,,,,,,
cost_10,cost,1,"Городское планирование, какой ценник за год, Москва",один год по программе Городское планирование в Москве стоит 650 тыс руб,"Ответ: Точная стоимость за год обучения в программе «Девелопмент и городское планирование» не указана в данном фрагменте.
Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики»",0,0.5,1,1,,,,,,
cost_11,cost,1,"Информатика и вычислительная техника, сколько стоит год, я не нашел строку",один год по программе Информатика и вычислительная техника в Москве стоит 540 тыс руб,"Ответ: Год обучения по направлению подготовки 09.03.01 Информатика и вычислительная техника стоит 60.
Источник: Приложение 1.pdf",0,0.5,1,1,,,,,,
